date,close,volume,open,high,low
28/02/2019,53.17,2858328,52.97,53.69,52.93
27/02/2019,53.05,1618201,52.84,53.21,52.76
26/02/2019,53.02,1473185,53.04,53.17,52.61
25/02/2019,52.99,2157343,53.5,53.55,52.94
22/02/2019,53.11,1715315,53.2,53.21,52.29
21/02/2019,53.08,1530819,53.09,53.375,52.51
20/02/2019,53.04,1411623,53.22,53.35,52.94
19/02/2019,53.13,1541650,53.2,53.4,52.845
15/02/2019,53.42,1917619,53.47,53.74,53.22
14/02/2019,52.99,1121773,53.09,53.23,52.32
13/02/2019,53.35,1938488,53.34,53.79,53.191
12/02/2019,53.11,1580320,52.88,53.3,51.1101
11/02/2019,52.61,1474354,52.51,52.92,52.45
08/02/2019,52.41,1570591,51.86,52.41,51.7361
07/02/2019,52.21,1695003,51.92,52.26,51.6
06/02/2019,52.28,1218249,52.01,52.37,51.895
05/02/2019,52.21,1856077,52.13,52.23,51.85
04/02/2019,52.23,1901875,51.84,52.38,51.771
01/02/2019,51.77,1726780,51.83,52.57,51.22
